z,layer_id,source,visible_pixels,hidden_overlap_pixels,bounds_x,bounds_y,bounds_width,bounds_height
0,far-hind-shank-foot,layers/00-far-hind-shank-foot.png,11714,1922,825,584,149,236
1,far-hind-thigh,layers/01-far-hind-thigh.png,204,6468,848,384,108,112
2,near-hind-shank-foot,layers/02-near-hind-shank-foot.png,11397,1447,614,623,184,200
3,near-hind-thigh,layers/03-near-hind-thigh.png,45219,13596,650,380,320,285
4,far-forearm,layers/04-far-forearm.png,5361,4238,392,506,119,184
5,near-forearm,layers/05-near-forearm.png,9824,3134,435,476,186,236
6,tail,layers/06-tail.png,19425,1989,1146,343,370,141
7,pelvis,layers/07-pelvis.png,38699,2873,858,299,314,193
8,torso,layers/08-torso.png,84508,3794,400,271,520,420
9,neck,layers/09-neck.png,39179,3945,226,210,246,310
10,jaw-lower,layers/10-jaw-lower.png,9035,1464,54,314,208,105
11,head-upper,layers/11-head-upper.png,26612,0,39,204,233,169
