z,layer_id,source,visible_pixels,hidden_overlap_pixels,bounds_x,bounds_y,bounds_width,bounds_height
0,far-hind-shank-foot,layers/00-far-hind-shank-foot.png,12018,2604,510,571,189,213
1,far-hind-thigh,layers/01-far-hind-thigh.png,6543,13742,552,415,144,225
2,near-hind-shank-foot,layers/02-near-hind-shank-foot.png,11673,1965,751,596,151,192
3,near-hind-thigh,layers/03-near-hind-thigh.png,34244,9792,609,400,299,246
4,far-forearm,layers/04-far-forearm.png,247,952,382,470,47,43
5,near-forearm,layers/05-near-forearm.png,5271,2280,394,460,108,129
6,tail,layers/06-tail.png,32349,2640,1057,326,474,149
7,pelvis,layers/07-pelvis.png,41714,3904,812,280,283,219
8,torso,layers/08-torso.png,83244,3720,404,254,474,381
9,neck,layers/09-neck.png,44693,4542,223,218,255,274
10,jaw-lower,layers/10-jaw-lower.png,11755,1423,45,326,216,128
11,head-upper,layers/11-head-upper.png,26160,0,34,228,234,176
